ID,Type,Date,Start Time,End Time,Title,Chair ID,ChairChair Given First Name,Chair middle initial or name ,Chair last/family name,,Primary Affiliation (no labs or dept names in this field) 1 - Department/School/Lab,Primary Affiliation (no labs or dept names in this field) 1 - Institution,Primary Affiliation (no labs or dept names in this field) 1 - City,Primary Affiliation (no labs or dept names in this field) 1 - State or Province,Primary Affiliation (no labs or dept names in this field) 1 - Country,Location,Submission IDs
plenary_1,Opening Plenary,1-Jan-16,8:30,10:00,Improvement of XML,person10,John,,Tyler,tyler@wm.edu,Computer Science,The College of William and Mary,Williamsburg,Virginia,United States,oval,special_1
papers_1,Papers,1-Jan-16,13:00,14:30,Agents and Simulated Annealing,person1,George,,Washington,washington@washington.edu,School of Information,University of Washington,Seattle,Washington,United States,red,"paper_1,paper_2,paper_3,paper_4,paper_5,paper_6"
papers_2,Papers,1-Jan-16,13:00,14:30,Massive Multiplayer Online,person2,John,,Adams,adams@harvard.edu,Computer Science,Harvard University,Cambridge,Massachusetts,United States,green,"paper_7,paper_8,paper_9,paper_10,paper_11"
break_1,Break,1-Jan-16,14:30,15:00,Break,,,,,,,,,,,oval,
papers_3,Papers,1-Jan-16,15:00,16:30,Lambda Calculus,person3,Thomas,,Jefferson,jefferson@wm.edu,Psychology,The College of William and Mary,Williamsburg,Virginia,United States,blue,"paper_13,paper_14,paper_15,paper_16,paper_17"
papers_4,Papers,1-Jan-16,15:00,16:30,Linked Lists,person4,James,,Madison,madison@princeton.edu,Media Lab,Princeton University,Princeton,New Jersey,United States,red,"paper_19,paper_20,paper_21,paper_22,paper_23,paper_24"
c_1,Course,2-Jan-16,8:30,14:30,Robotics,person11,James,K.,Polk,polk@unc.edu,Psychology,University of North Carolina,Chapel Hill,North Carolina,United States,green,course_1
papers_5,Papers,2-Jan-16,8:30,10:00,Programming in the Internet,person5,James,,Monroe,monroe@wm.edu,School of Information,The College of William and Mary,Williamsburg,Virginia,United States,green,"paper_25,paper_26,paper_27,paper_28,paper_29,paper_30"
papers_6,Papers,2-Jan-16,8:30,10:00,Context-Free Grammar,person6,John,Quincy,Adams,jqadams@harvard.edu,Computer Science,Harvard University,Cambridge,Massachusetts,United States,blue,"paper_31,paper_32,paper_33,paper_34,paper_35"
break_2,Break,2-Jan-16,10:00,13:00,Break,,,,,,,,,,,oval,
papers_7,Papers,2-Jan-16,13:00,14:30,Visualization,person7,Andrew,,Jackson,jackson@adobe.com,Adobe Research,Adobe,San Jose,California,United States,red,"paper_37,paper_38,paper_39,paper_40,paper_41,paper_42"
papers_8,Papers,2-Jan-16,13:00,14:30,Moore's Law,person8,Martin,Van,Buren,buren@cmu.edu,Media Lab,Carnegie Mellon University,Pittsburgh,Pennsylvania,United States,green,"paper_43,paper_44,paper_45,paper_46,paper_47,paper_48"
papers_9,Papers,3-Jan-16,13:00,14:30,Byzantine fault toleranc,person9,William,Henry,Harrison,harrison@umich.edu,School of Information,University of Michigan,Ann Arbor,Michigan,United States,blue,"paper_49,paper_50,paper_18,paper_12,paper_36"
plenary_2,Closing Plenary,3-Jan-16,8:30,10:00,Improvement of XML,person10,John,,Tyler,tyler@wm.edu,Computer Science,The College of William and Mary,Williamsburg,Virginia,United States,oval,special_2
